galaxy,dcrra4_triangle_class,dcrra7_residual_map_zone,dcrra7_evidence_tier,dcrra7_proxy_support_flag,proxy_centroid_predicted_class,nearest_centroid_margin,dcrra3_recommended_class,dcrra3_class_stability,best_n,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,n_points,estimated_family_delta_aic_minus_nfw_like,estimated_family_delta_aic_minus_rar_like,dcrra7_rationale,dcrra7_claim_boundary_note,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,best_destructive_null,delta_aic_rrf_minus_best_destructive_null,best_neighbor_null,delta_aic_rrf_minus_best_neighbor_null,best_aic_v2,locked_aic_v2,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_2_of_best,grid_count_within_10_of_best,response_family_strength_axis,halo_competitiveness_axis,rar_competitiveness_axis,nuisance_or_pathology_flag,overflex_neighbor_risk_flag,destructive_null_pass_flag,component_curve_external_validation_status
CamB,PATHOLOGY_ARCHIVE,PATHOLOGY_ARCHIVE_ZONE,PASS_THROUGH_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,UNRESOLVED_TRIANGULAR,0.7612043807837523,PATHOLOGY_ARCHIVE,STABLE,12.0,1.2047431932148416,3.504588462260784,16.8,20.1,0.1974420874210283,1.0734187216553288,9,-34.09554621684991,-327.8953577776145,Core/pathology guard active; archive from physical interpretation.,Diagnostic residual-regime map only; not a physical dark-matter classification.,36.55967766961543,5720.558392435284,5.37,outer_step_median,-8.230491173267175,saturating_n8,8.259525745378557,27.98624272216819,36.55967766961543,8.573434947447236,0,1,22,30,361.9909039944644,-34.09554621684991,-327.8953577776145,1,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
D631-7,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.1493058604220274,SN_RRF_FAMILY_LIKE,STABLE,3.0,0.5215233187900268,1.0285250526739784,58.05105511530346,58.5,0.6260298172412903,0.1300743191614056,16,-50.66966710111582,-209.19427082449943,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,10.329020709320556,3444.866407523111,3.7428405773515703,outer_step_median,-283.79210589878494,saturating_n4,-3.994790552429368,10.002312238261537,10.340130476301272,0.3378182380397376,1,1,6,12,259.86393792561523,-50.66966710111582,-209.19427082449943,0,0,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
DDO064,THREE_WAY_COMPETITIVE,MIXED_THREE_WAY_COMPETITIVE_ZONE,MEDIUM_DIAGNOSTIC,PROXY_AMBIGUOUS_NEAR_TIE,NUISANCE_SENSITIVE,0.0170053415672317,MIXED_COMPETITIVE,STABLE,2.5,0.5453951187493905,0.7256854873491801,46.4,46.9,0.2892437293785073,0.3551905283888228,14,-2.9693757092042548,3.500258674831835,"NFW-like, RAR-like, and SN-RRF-family-like descriptions remain broadly competitive.",Diagnostic residual-regime map only; not a physical dark-matter classification.,7.763989667093139,1926.6923528618704,1.2963821729292275,outer_step_median,-18.87357580479407,saturating_n2,0.0901499600626829,7.54517181283717,7.769454802843936,0.224282990006766,1,1,20,39,2.9693757092042548,-2.9693757092042548,3.500258674831835,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
DDO154,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.660533724999853,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,2.25,0.3987982128493373,0.9112288090675428,47.4,48.2,0.7866455535310898,0.1370599886058146,12,-73.781084907259,-239.17760962377585,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,26.0624372706993,1970.547819575832,1.982368921790632,shuffled_radius_rrf_nfixed,-788.8117854534869,saturating_n2,14.680780541964008,10.019877533138947,25.85253125157227,15.832653718433322,0,0,3,6,312.95869453103484,-73.781084907259,-239.17760962377585,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
DDO161,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.5344103207549034,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,2.0,0.4880743627566271,0.8403563708153551,66.70007496247662,67.5,0.6587086856264412,0.2606261547798332,31,-23.98352020576462,-3125.9604374866494,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,23.183709487119447,3723.5792195787194,5.9581991090751565,outer_step_median,-442.2640752212285,saturating_n2,11.793893595714692,11.443722663815134,23.1447472790161,11.701024615200968,0,0,3,7,3149.943957692414,-23.98352020576462,-3125.9604374866494,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
DDO168,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,0.7207298575133043,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,4.5,0.5155614938202889,0.9738391502215304,54.8,55.0,0.6378034891254569,0.2702505461132719,10,-69.60156930733527,-152.93466295982793,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,15.292117618302488,2877.3701482368974,2.147807366096293,shuffled_radius_rrf_nfixed,-246.04154059837845,saturating_n4,3.038624871320504,12.13759457746352,15.321922441131502,3.184327863667983,0,1,8,18,222.5362322671632,-69.60156930733527,-152.93466295982793,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
DDO170,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.810088027246873,SN_RRF_FAMILY_LIKE,STABLE,2.0,0.2751975502260967,0.7990570586651387,60.0,62.2,0.6484889010918328,0.2706209444444444,8,-4.333058386685952,-651.7895559032216,SN-RRF-family-like margin is strong relative to RAR-like while NFW-like remains competitive.,Diagnostic residual-regime map only; not a physical dark-matter classification.,18.01370609792245,2840.484136067112,3.5273064460853814,shuffled_radius_rrf_nfixed,-70.02302455314742,saturating_n2,6.296284525490012,11.707896203680946,18.000277349096137,6.292381145415192,0,1,5,12,656.1226142899076,-4.333058386685952,-651.7895559032216,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
ESO079-G014,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_DIAGNOSTIC,PROXY_AMBIGUOUS_NEAR_TIE,THREE_WAY_COMPETITIVE,0.0026037692111444,SN_RRF_FAMILY_LIKE,STABLE,2.75,0.3673883135459856,0.6893282911963908,176.00284088616297,178.0,0.0126686798260807,0.5941916115182231,15,-40.11339072931044,-35.52806776714425,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,11.117397402823483,22220.237849109788,5.98373829622826,outer_step_median,-142.55237809653792,saturating_n2,-4.706361472263122,9.211634331316349,11.257215505123629,2.04558117380728,0,1,4,10,75.64145849645469,-40.11339072931044,-35.52806776714425,0,0,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
ESO116-G012,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,THREE_WAY_COMPETITIVE,0.4606401963450979,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,2.0,0.4175996514909084,0.7458811518839589,110.5011312159292,112.0,0.1016601551629533,0.3043383890913558,15,-41.27237240114939,-71.6609347269713,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,32.55909484443075,9865.338439775594,2.8969057919667582,outer_step_median,-344.4679153767344,saturating_n2,18.242536267784068,14.35211798187315,32.506990078285895,18.154872096412745,0,0,3,7,112.9333071281207,-41.27237240114939,-71.6609347269713,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
ESO563-G021,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NFW_TRIANGLE_DOMINANT,0.7254202891834765,UNRESOLVED_OR_WEAK,STABLE,4.25,0.1395602561285265,0.9369142798761436,314.00159235265033,321.0,0.0048411271695432,0.4689661647920322,30,-486.036632656244,-486.7943883426725,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,140.21315165621476,70067.99216421216,6.598135385225629,outer_step_median,-2473.800830662044,saturating_n4,26.18889736664495,113.7234823478686,139.43275509714869,25.709272749280075,0,0,2,6,972.8310209989165,-486.036632656244,-486.7943883426725,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD
