galaxy,dcrra7_residual_map_zone,best_n,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,n_points,estimated_family_delta_aic_minus_nfw_like,estimated_family_delta_aic_minus_rar_like,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,delta_aic_rrf_minus_best_destructive_null,delta_aic_rrf_minus_best_neighbor_null,delta_aic_locked_minus_best_continuum,grid_count_within_2_of_best,grid_count_within_10_of_best,response_family_strength_axis,halo_competitiveness_axis,rar_competitiveness_axis,nuisance_or_pathology_flag,overflex_neighbor_risk_flag,destructive_null_pass_flag,phase4a_proxy_pc1,phase4a_proxy_pc2
CamB,PATHOLOGY_ARCHIVE_ZONE,12.0,1.2047431932148416,3.504588462260784,16.8,20.1,0.1974420874210283,1.0734187216553288,9,-34.09554621684991,-327.8953577776145,36.55967766961543,5720.558392435284,5.37,-8.230491173267175,8.259525745378557,8.573434947447236,22,30,361.9909039944644,-34.09554621684991,-327.8953577776145,1,1,1,-1.281447610751267,1.1697797087688586
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,3.0,0.5215233187900268,1.0285250526739784,58.05105511530346,58.5,0.6260298172412903,0.1300743191614056,16,-50.66966710111582,-209.19427082449943,10.329020709320556,3444.866407523111,3.7428405773515694,-283.79210589878494,-3.994790552429368,0.3378182380397376,6,12,259.86393792561523,-50.66966710111582,-209.19427082449943,0,0,1,-0.5485470596237111,-2.2814514203190503
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,2.5,0.5453951187493905,0.7256854873491801,46.4,46.9,0.2892437293785073,0.3551905283888228,14,-2.9693757092042548,3.500258674831835,7.763989667093139,1926.6923528618704,1.2963821729292275,-18.87357580479407,0.0901499600626829,0.224282990006766,20,39,2.9693757092042548,-2.9693757092042548,3.500258674831835,0,1,1,-1.7713733724350236,-1.069073788774359
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,2.25,0.3987982128493373,0.9112288090675428,47.4,48.2,0.7866455535310898,0.1370599886058146,12,-73.781084907259,-239.17760962377585,26.0624372706993,1970.547819575832,1.982368921790632,-788.8117854534869,14.680780541964008,15.832653718433322,3,6,312.95869453103484,-73.781084907259,-239.17760962377585,0,1,1,-0.05348326147880649,-3.061589409989194
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,2.0,0.4880743627566271,0.8403563708153551,66.70007496247662,67.5,0.6587086856264412,0.2606261547798332,31,-23.98352020576462,-3125.9604374866494,23.183709487119447,3723.57921957872,5.9581991090751565,-442.2640752212285,11.793893595714692,11.701024615200968,3,7,3149.943957692414,-23.98352020576462,-3125.9604374866494,0,1,1,5.5914811426483055,-2.5579470503923805
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,4.5,0.5155614938202889,0.9738391502215304,54.8,55.0,0.6378034891254569,0.2702505461132719,10,-69.60156930733527,-152.93466295982793,15.292117618302488,2877.3701482368974,2.147807366096293,-246.04154059837845,3.038624871320504,3.184327863667983,8,18,222.5362322671632,-69.60156930733527,-152.93466295982793,0,1,1,-0.7723068793042256,-1.9958837532734515
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,2.0,0.2751975502260967,0.7990570586651387,60.0,62.2,0.6484889010918328,0.2706209444444444,8,-4.333058386685952,-651.7895559032216,18.01370609792245,2840.484136067112,3.5273064460853814,-70.02302455314742,6.296284525490012,6.292381145415192,5,12,656.1226142899076,-4.333058386685952,-651.7895559032216,0,1,1,0.05453164260694468,-2.4444294630935235
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,2.75,0.3673883135459856,0.6893282911963908,176.00284088616297,178.0,0.0126686798260807,0.5941916115182231,15,-40.11339072931044,-35.52806776714425,11.117397402823483,22220.237849109788,5.98373829622826,-142.55237809653792,-4.706361472263122,2.04558117380728,4,10,75.64145849645469,-40.11339072931044,-35.52806776714425,0,0,1,-0.47444872105064895,0.4305704581890796
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,2.0,0.4175996514909084,0.7458811518839589,110.5011312159292,112.0,0.1016601551629533,0.3043383890913558,15,-41.27237240114939,-71.6609347269713,32.55909484443075,9865.338439775594,2.8969057919667582,-344.4679153767344,18.242536267784068,18.154872096412745,3,7,112.9333071281207,-41.27237240114939,-71.6609347269713,0,1,1,-0.3018946959383426,-1.1040083070585156
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,4.25,0.1395602561285265,0.9369142798761436,314.00159235265033,321.0,0.0048411271695432,0.4689661647920322,30,-486.036632656244,-486.7943883426725,140.21315165621476,70067.99216421216,6.598135385225629,-2473.800830662044,26.18889736664495,25.709272749280075,2,6,972.8310209989164,-486.036632656244,-486.7943883426725,0,1,1,4.1237475267086,1.9707273046653266
