galaxy,zone,phase4b_shape_pc1,phase4b_shape_pc2
CamB,PATHOLOGY_ARCHIVE_ZONE,-9.546108412516901,3.127516451804413
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,2.7771149678362153,-1.7667653429279482
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,2.001038427986344,-0.27698820610983044
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,4.481411415584791,-1.2338064402909297
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,2.067635494180881,-0.7356431172176908
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,1.788220247169351,-0.8000391658823773
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,3.6558172450688495,-0.045871579923702076
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,-1.1273101177178129,1.274508289874617
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,2.40017933583529,-0.4177445358231557
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,-0.12741451390669736,0.9847373338793063
F563-1,NUISANCE_SENSITIVE_ZONE,5.938475359051844,0.07923353075711262
F563-V2,NUISANCE_SENSITIVE_ZONE,5.398468603382765,0.23502860891697364
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,5.056286713370628,-0.34390392395570285
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,3.5562398232967025,-0.15257146659594786
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,6.996926792678739,0.6042699713451337
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,2.8048864001139955,-3.9134753165615503
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,3.249672127604563,0.38881124662918054
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,3.047455838723649,2.760981109868254
F583-1,RESPONSE_FAMILY_DOMINANT_ZONE,6.511201406340166,-0.6611992715097461
F583-4,PATHOLOGY_ARCHIVE_ZONE,0.633149014769009,0.8470458552636347
IC2574,RESPONSE_FAMILY_DOMINANT_ZONE,0.4797253444519013,0.05797978883179028
IC4202,RESPONSE_FAMILY_DOMINANT_ZONE,-4.004958432256608,1.5335016071840564
KK98-251,RESPONSE_FAMILY_DOMINANT_ZONE,0.3166463032206923,0.09847494216630144
NGC0024,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,5.179135388996409,0.909695065141361
NGC0055,RESPONSE_FAMILY_DOMINANT_ZONE,0.7724689892922397,0.2317360806086042
NGC0100,RESPONSE_FAMILY_DOMINANT_ZONE,1.285627853978322,-0.46976015106083113
NGC0247,NUISANCE_SENSITIVE_ZONE,1.6219213432313933,0.7602904768236357
NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,3.2647850860133794,-1.4638705824565799
NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,3.423010754992598,-0.2707920118583724
NGC0801,PATHOLOGY_ARCHIVE_ZONE,-5.667942356746972,-0.20329531855187455
