comparator,aic,rss,galaxy,zone,rotmod_points,Rlast_kpc,delta_aic_vs_best,params_json,comparator_family,k_effective,aicc_recomputed,bic_recomputed
SN_RRF_LOCKED_N3_258993,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",SN_RRF_FAMILY,2,-16.688856682373284,-18.294407527700844
SN_RRF_SATURATING_FAMILY,30.062349792747,0.6218030296595927,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,51.9728842228267,"{""amplitude"": 0.3096459837090219, ""n"": 12.0, ""scale"": 2.0}",SN_RRF_FAMILY,4,-6.05120837673174,-15.262310067386862
NFW_LIKE_DIAGNOSTIC,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR,2,-16.688856682373284,-18.294407527700844
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR,2,-16.688856682373284,-18.294407527700844
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR,2,-16.688856682373284,-18.294407527700844
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,30.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,52.26878834504261,"{""amplitude"": 0.0, ""extra"": 0.4, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR,2,-16.688856682373284,-18.294407527700844
BARYONIC_MISMATCH_PROXY,16.203111959620777,0.6188979197347653,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,38.11364638970048,"{""gas_coef"": 1.5818342708644688, ""stellar_coef"": -1.0249969998005815}",BARYONIC_SYSTEMATICS_PROXY,2,-18.09335557927803,-19.69890642460559
NUISANCE_GRADIENT_PROXY,18.1735442992615,0.5037610960053716,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,40.0840787293412,"{""intercept"": -0.18712282326941215, ""slope"": -0.0947313957667952}",NUISANCE_PROXY,2,-19.945899448413417,-21.551450293740977
OVERFLEX_POLY5_NULL,-21.9105344300797,0.0017531888926713,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,0.0,"{""coef"": [-0.08709885666600417, 2.001756796263452, -19.79103060375061, 48.68963728068268, -47.48251834101263, 16.99773290759565], ""degree"": 5}",OVERFLEX_NULL,6,-22.891891520124346,-63.70854405610703
SN_RRF_LOCKED_N3_258993,-12.078334490011152,0.0574449414242643,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,50.21501838857355,"{""amplitude"": 1.0198757409432175, ""scale"": 0.65}",SN_RRF_FAMILY,2,-85.14919591853759,-84.52709539713494
SN_RRF_SATURATING_FAMILY,-18.227107829005188,0.0217873420448013,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,44.06624504957951,"{""amplitude"": 0.8297303310251262, ""n"": 4.0, ""scale"": 0.5}",SN_RRF_FAMILY,4,-93.94787380700237,-94.49388255440688
NFW_LIKE_DIAGNOSTIC,33.106057987277666,0.4896430117678478,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,95.39941086586236,"{""amplitude"": 0.6568895913334163, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR,2,-50.863601845714086,-50.24150132431144
