galaxy,zone,n_points,gas_fraction_proxy,outer_baryon_fraction_proxy,v_max_kms,median_err_fraction,roughness_rms_diff,negative_residual_v2_fraction,phase5_overflex_winner_flag,existing_aicc_overflex_flag,poly_aicc_high_flex_flag,nuisance_or_pathology_zone_flag,phase6_failure_boundary_score
CamB,PATHOLOGY_ARCHIVE_ZONE,9,0.1974420874210283,1.0734187216553288,20.1,0.1376146788990825,0.0463601426341331,0.8888888888888888,1,1,1,1,6
UGC07577,PATHOLOGY_ARCHIVE_ZONE,9,0.1989044879820171,0.927193149005182,17.8,0.2962616822429906,0.030510949625459,0.6666666666666666,1,0,1,1,5
UGC02455,PATHOLOGY_ARCHIVE_ZONE,8,0.0515977569898849,1.9758684357056469,61.0,0.1016988297295202,0.0863562049058203,1.0,0,0,1,1,5
UGC04305,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,22,0.1917661798507816,1.2761931853266757,37.3,0.0989329268292683,0.0572227591196999,0.7727272727272727,1,1,1,0,5
UGC06614,MIXED_THREE_WAY_COMPETITIVE_ZONE,13,0.0,0.3854119619024508,205.0,0.0780487804878048,0.0483594319014118,0.5384615384615384,1,1,1,0,5
NGC4217,PATHOLOGY_ARCHIVE_ZONE,19,0.0169531319570333,0.8335062271177882,191.0,0.0368279569892473,0.095951568259106,0.631578947368421,1,1,1,1,5
NGC4157,NUISANCE_SENSITIVE_ZONE,17,0.0668327980288619,0.5970867406866325,201.0,0.03646408839779,0.0545296047677707,0.5294117647058824,1,1,0,1,5
UGC06973,PATHOLOGY_ARCHIVE_ZONE,9,0.0170999288961383,1.0869536359045575,180.0,0.0280701754385964,0.1079759847387424,0.8888888888888888,1,0,1,1,5
NGC7331,NUISANCE_SENSITIVE_ZONE,36,0.0400385733168341,0.680788196985347,257.0,0.0194552529182879,0.0726218774097667,0.6111111111111112,1,1,1,1,5
UGC06787,NUISANCE_SENSITIVE_ZONE,71,0.0019108667577432,0.327921644929027,276.0,0.0157847533632287,0.071987538903613,0.4788732394366197,1,1,1,1,5
NGC5371,PATHOLOGY_ARCHIVE_ZONE,19,0.0295591008345643,0.9718086399778108,242.0,0.0144927536231884,0.0479559255657289,0.8421052631578947,1,1,1,1,5
UGC05005,MIXED_THREE_WAY_COMPETITIVE_ZONE,11,0.1758389028199194,0.2278496127671461,100.0,0.1321699544764795,0.0244010598137896,0.0909090909090909,1,1,1,0,4
UGC11557,PATHOLOGY_ARCHIVE_ZONE,12,0.0151615207927254,1.3301757286860825,85.0,0.1222134820747521,0.037079432375655,1.0,1,0,1,1,4
UGC05829,NUISANCE_SENSITIVE_ZONE,11,0.3969357625823655,0.3607083999479477,68.6,0.1056367432150313,0.0187922296637491,0.0,1,0,1,1,4
UGC05918,NUISANCE_SENSITIVE_ZONE,8,0.2851119649642405,0.2728032907932729,44.5,0.1033553757799989,0.0216202028060266,0.0,1,0,1,1,4
NGC2915,RESPONSE_FAMILY_DOMINANT_ZONE,30,0.3112271069925207,0.0981231978051716,86.5,0.0957877688713746,0.0662022069734359,0.1,1,1,1,0,4
NGC7793,RESPONSE_FAMILY_DOMINANT_ZONE,46,0.0131697783960118,0.6644340552712386,116.0,0.0893425564967611,0.0333979158656717,0.5652173913043478,1,1,1,0,4
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,18,0.0395353346041167,1.2326165510857956,265.0,0.0841216409376786,0.0394067643441255,1.0,1,1,1,0,4
UGC03546,RESPONSE_FAMILY_DOMINANT_ZONE,30,5.266504170286921e-05,0.6712652293516725,262.0,0.054174310056663,0.0752290745726079,0.6333333333333333,1,1,1,0,4
NGC3877,PATHOLOGY_ARCHIVE_ZONE,13,0.0146172435737962,1.377737799487453,171.0,0.0335294117647058,0.03452810356102,0.8461538461538461,1,1,1,1,4
NGC2955,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,24,0.0103739801459346,0.9159232497223604,276.0,0.0330646997929606,0.0606063819030418,0.75,1,1,1,0,4
UGC11455,RESPONSE_FAMILY_DOMINANT_ZONE,36,0.0049736489617406,0.8126198759191177,291.0,0.0318763451379377,0.0531236679581387,0.8055555555555556,1,1,1,0,4
UGC11914,PATHOLOGY_ARCHIVE_ZONE,65,0.0002200119684126,1.1001905599087485,305.0,0.0280565371024734,0.0252963676986915,0.953846153846154,1,1,1,1,4
UGC02916,NUISANCE_SENSITIVE_ZONE,43,0.0098428559949136,0.713778387755102,218.0,0.0242512077294685,0.0710845881955683,0.5348837209302325,1,0,1,1,4
NGC7814,NUISANCE_SENSITIVE_ZONE,18,0.0058556347331544,0.4338701720674294,265.0,0.0224840137727496,0.0568436115807186,0.2777777777777778,1,1,1,1,4
NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,0.0066657972355341,0.971278594393004,234.0,0.0161158738938053,0.1159106479084448,0.8333333333333334,1,1,1,0,4
NGC5055,RESPONSE_FAMILY_DOMINANT_ZONE,28,0.0442588209343316,0.5086629786835618,206.0,0.0122605746209098,0.0660725647696335,0.5357142857142857,1,1,1,0,4
F563-V2,NUISANCE_SENSITIVE_ZONE,10,0.0826615559827784,0.2167593363975869,118.0,0.1824324685566114,0.032660120089137,0.0,0,0,1,1,3
UGC05750,MIXED_THREE_WAY_COMPETITIVE_ZONE,11,0.1792511779575575,0.3468188204113083,78.9,0.1662125340599455,0.0261069288758085,0.1818181818181818,1,0,1,0,3
UGC01281,UNRESOLVED_TRIANGULAR_ZONE,25,0.2009839066672678,0.2318520661157025,56.9,0.1563291139240506,0.0258508219232433,0.0,1,1,1,0,3
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,0.0641954520350811,0.2247057097631296,142.0,0.128895292987512,0.0288689099939565,0.0,1,1,1,0,3
