galaxy,dcrra4_triangle_class,zone,dcrra7_evidence_tier,dcrra7_proxy_support_flag,proxy_centroid_predicted_class,nearest_centroid_margin,dcrra3_recommended_class,dcrra3_class_stability,best_n,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,n_points,estimated_family_delta_aic_minus_nfw_like,estimated_family_delta_aic_minus_rar_like,dcrra7_rationale,dcrra7_claim_boundary_note,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,best_destructive_null,delta_aic_rrf_minus_best_destructive_null,best_neighbor_null,delta_aic_rrf_minus_best_neighbor_null,best_aic_v2,locked_aic_v2,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_2_of_best,grid_count_within_10_of_best,response_family_strength_axis,halo_competitiveness_axis,rar_competitiveness_axis,nuisance_or_pathology_flag,overflex_neighbor_risk_flag,destructive_null_pass_flag,component_curve_external_validation_status,rotmod_points,Rlast_kpc,median_abs_residual_norm,max_abs_residual_norm,roughness_rms_diff,median_err_fraction,negative_vbar2_proxy_fraction,negative_residual_v2_fraction,kernel_curve_corr,kernel_curve_rmse,winning_comparator,winning_comparator_family,winning_aic,params_json,rss,winner_existing_aic,winner_existing_aic_family,winner_existing_aic_score,winner_existing_aicc,winner_existing_aicc_family,winner_existing_aicc_score,winner_existing_bic,winner_existing_bic_family,winner_existing_bic_score,winner_poly_degree_aic,winner_poly_degree_aic_degree,winner_poly_degree_aic_score,winner_poly_degree_aicc,winner_poly_degree_aicc_degree,winner_poly_degree_aicc_score,winner_poly_degree_bic,winner_poly_degree_bic_degree,winner_poly_degree_bic_score,phase5_winning_comparator,phase5_winning_comparator_family,phase5_overflex_winner,response_family_zone_flag,nuisance_or_pathology_zone_flag,halo_or_mixed_zone_flag,phase5_overflex_winner_flag,existing_aicc_overflex_flag,existing_bic_overflex_flag,poly_aicc_high_flex_flag,snrrf_existing_aicc_winner_flag,low_point_count_flag,high_median_error_flag,high_roughness_flag,high_negative_residual_fraction_flag,phase6_failure_boundary_score
CamB,PATHOLOGY_ARCHIVE,PATHOLOGY_ARCHIVE_ZONE,PASS_THROUGH_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,UNRESOLVED_TRIANGULAR,0.7612043807837523,PATHOLOGY_ARCHIVE,STABLE,12.0,1.2047431932148416,3.504588462260784,16.8,20.1,0.1974420874210283,1.0734187216553288,9,-34.09554621684991,-327.8953577776145,Core/pathology guard active; archive from physical interpretation.,Diagnostic residual-regime map only; not a physical dark-matter classification.,36.55967766961543,5720.558392435284,5.37,outer_step_median,-8.230491173267175,saturating_n8,8.259525745378557,27.98624272216819,36.55967766961543,8.573434947447236,0,1,22,30,361.9909039944644,-34.09554621684991,-327.8953577776145,1,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,9,1.79,0.438157596371882,0.569029549319728,0.0463601426341331,0.1376146788990825,0.0,0.8888888888888888,0.8141726771696011,0.3480686685176077,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.9105344300797,"{""coef"": [-0.08709885666600417, 2.001756796263452, -19.79103060375061, 48.68963728068268, -47.48251834101263, 16.99773290759565], ""degree"": 5}",0.0017531888926713,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.9105344300797,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-22.891891520124343,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-63.70854405610703,POLY5_NULL,5,-315.1621672608581,POLY5_NULL,5,-312.6167127154036,POLY5_NULL,5,-305.0288905361745,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,0,1,0,1,1,1,1,0,1,1,0,1,6
D631-7,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.1493058604220274,SN_RRF_FAMILY_LIKE,STABLE,3.0,0.5215233187900268,1.0285250526739784,58.05105511530346,58.5,0.6260298172412903,0.1300743191614056,16,-50.66966710111582,-209.19427082449943,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,10.329020709320556,3444.866407523111,3.7428405773515694,outer_step_median,-283.79210589878494,saturating_n4,-3.994790552429368,10.002312238261537,10.340130476301272,0.3378182380397376,1,1,6,12,259.86393792561523,-50.66966710111582,-209.19427082449943,0,0,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,16,7.19,0.4626370319814239,0.8808512355616224,0.0283268928742152,0.0542213592041372,0.0,0.1875,0.9967218734660211,0.0468275815130514,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.2933528785847,"{""coef"": [0.02494713578276848, -1.2654659837102558, 7.258303995888417, -8.706039973309245, 5.813976282469829, -2.293252970055908], ""degree"": 5}",0.0013168137029546,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.2933528785847,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-129.14873137197708,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-133.84653237187177,POLY6_NULL,6,-394.3098765440639,POLY6_NULL,6,-390.8098765440639,POLY6_NULL,6,-382.4877203652663,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,1,0,0,1,1,1,1,0,0,0,0,0,2
DDO064,THREE_WAY_COMPETITIVE,MIXED_THREE_WAY_COMPETITIVE_ZONE,MEDIUM_DIAGNOSTIC,PROXY_AMBIGUOUS_NEAR_TIE,NUISANCE_SENSITIVE,0.0170053415672317,MIXED_COMPETITIVE,STABLE,2.5,0.5453951187493905,0.7256854873491801,46.4,46.9,0.2892437293785073,0.3551905283888228,14,-2.9693757092042548,3.500258674831835,"NFW-like, RAR-like, and SN-RRF-family-like descriptions remain broadly competitive.",Diagnostic residual-regime map only; not a physical dark-matter classification.,7.763989667093139,1926.6923528618704,1.2963821729292275,outer_step_median,-18.87357580479407,saturating_n2,0.0901499600626829,7.54517181283717,7.769454802843936,0.224282990006766,1,1,20,39,2.9693757092042548,-2.9693757092042548,3.500258674831835,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,14,2.98,0.4592515188391795,0.6651739001189059,0.0272455260661935,0.1596913630448926,0.0,0.0,0.9632628686868656,0.1290622060776446,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-42.47510672125889,"{""coef"": [-0.06422586315913396, 3.2491202454864347, -27.00993233391626, 90.98187533469518, -115.61254805729155, 49.10727536477571], ""degree"": 5}",0.0086416389635523,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-42.47510672125889,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-80.96715257289827,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-87.62874090712735,POLY6_NULL,6,-344.34668390763795,POLY6_NULL,6,-340.84668390763795,POLY6_NULL,6,-332.5245277288404,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,0,0,1,1,0,1,1,0,0,1,0,0,2
DDO154,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.660533724999853,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,2.25,0.3987982128493373,0.9112288090675428,47.4,48.2,0.7866455535310898,0.1370599886058146,12,-73.781084907259,-239.17760962377585,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,26.0624372706993,1970.547819575832,1.982368921790632,shuffled_radius_rrf_nfixed,-788.8117854534869,saturating_n2,14.680780541964008,10.019877533138947,25.85253125157227,15.832653718433322,0,0,3,6,312.95869453103484,-73.781084907259,-239.17760962377585,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,12,5.92,0.6736361471630259,0.885338442913351,0.0275625956884854,0.0135126961276508,0.0,0.0,0.9959912609782264,0.0637195273132864,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-38.53976380152537,"{""coef"": [0.03536064816684577, -1.336747477639933, 14.58359010041988, -31.31639521195183, 29.43111997225403, -10.630298289484665], ""degree"": 5}",0.0004448507502335,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-38.53976380152537,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-93.63214049491758,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-107.52270059618957,POLY6_NULL,6,-420.7031125974899,POLY6_NULL,6,-417.2031125974899,POLY6_NULL,6,-408.88095641869234,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,1,0,0,1,1,1,1,0,0,0,0,0,2
DDO161,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.5344103207549034,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,2.0,0.4880743627566271,0.8403563708153551,66.70007496247662,67.5,0.6587086856264412,0.2606261547798332,31,-23.98352020576462,-3125.9604374866494,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,23.183709487119447,3723.57921957872,5.9581991090751565,outer_step_median,-442.2640752212285,saturating_n2,11.793893595714692,11.443722663815134,23.1447472790161,11.701024615200968,0,0,3,7,3149.943957692414,-23.98352020576462,-3125.9604374866494,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,31,13.37,0.3933601564431657,0.7667346535098561,0.0248486303853925,0.0354790419161676,0.0,0.0,0.9915531118901596,0.0697300743614189,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-75.47539740654729,"{""amplitude"": 0.7534963559647571, ""n"": 3.0, ""scale"": 0.5}",0.0075944053483914,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-75.47539740654729,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-250.6483219388856,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-248.2089189584867,POLY6_NULL,6,-335.5731467078755,POLY6_NULL,6,-332.0731467078755,POLY6_NULL,6,-323.7509905290779,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,False,1,0,0,0,0,0,1,1,0,0,0,0,0
DDO168,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,0.7207298575133043,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,4.5,0.5155614938202889,0.9738391502215304,54.8,55.0,0.6378034891254569,0.2702505461132719,10,-69.60156930733527,-152.93466295982793,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,15.292117618302488,2877.3701482368974,2.147807366096293,shuffled_radius_rrf_nfixed,-246.04154059837845,saturating_n4,3.038624871320504,12.13759457746352,15.321922441131502,3.184327863667983,0,1,8,18,222.5362322671632,-69.60156930733527,-152.93466295982793,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,10,4.12,0.5126472008364857,0.7370620437956206,0.0279981245112187,0.0428002654280026,0.0,0.0,0.9911860483184968,0.1064229725845191,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-3.721092733536535,"{""coef"": [0.03146620978081077, 0.24437591693415028, -6.51463372984064, 31.680764590190233, -41.752728619161005, 16.95844997349331], ""degree"": 5}",0.0072850190100485,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-3.721092733536535,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-50.84959546230533,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-58.42969267057818,POLY6_NULL,6,-321.01204469342633,POLY6_NULL,6,-317.51204469342633,POLY6_NULL,6,-309.1898885146288,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,1,0,0,1,0,1,1,1,1,0,0,0,2
DDO170,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NUISANCE_SENSITIVE,1.810088027246873,SN_RRF_FAMILY_LIKE,STABLE,2.0,0.2751975502260967,0.7990570586651387,60.0,62.2,0.6484889010918328,0.2706209444444444,8,-4.333058386685952,-651.7895559032216,SN-RRF-family-like margin is strong relative to RAR-like while NFW-like remains competitive.,Diagnostic residual-regime map only; not a physical dark-matter classification.,18.01370609792245,2840.484136067112,3.5273064460853814,shuffled_radius_rrf_nfixed,-70.02302455314742,saturating_n2,6.296284525490012,11.707896203680946,18.000277349096137,6.292381145415192,0,1,5,12,656.1226142899076,-4.333058386685952,-651.7895559032216,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,8,12.33,0.6217154583333333,0.8398694166666668,0.0244935356362104,0.0196933010492332,0.0,0.0,0.9827896230610984,0.0469940393264605,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-12.43539636963366,"{""coef"": [-0.09811577874180628, 0.18341861868954557, 10.743812897548532, -28.273765910892, 27.076522285248686, -8.851015449648003], ""degree"": 5}",0.0009429969104527,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-12.43539636963366,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-47.15881793042672,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-59.8904634964186,POLY6_NULL,6,-360.5588635865231,POLY6_NULL,6,-357.0588635865231,POLY6_NULL,6,-348.73670740772553,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,1,0,0,1,0,1,1,0,1,0,0,0,2
ESO079-G014,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_DIAGNOSTIC,PROXY_AMBIGUOUS_NEAR_TIE,THREE_WAY_COMPETITIVE,0.0026037692111444,SN_RRF_FAMILY_LIKE,STABLE,2.75,0.3673883135459856,0.6893282911963908,176.00284088616297,178.0,0.0126686798260807,0.5941916115182231,15,-40.11339072931044,-35.52806776714425,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,11.117397402823483,22220.237849109788,5.98373829622826,outer_step_median,-142.55237809653792,saturating_n2,-4.706361472263122,9.211634331316349,11.257215505123629,2.04558117380728,0,1,4,10,75.64145849645469,-40.11339072931044,-35.52806776714425,0,0,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,15,16.67,0.260420166575201,0.4716876069341769,0.0194770025671159,0.0524509803921568,0.0,0.2,0.9803321146973412,0.1800886100038058,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-15.917161425109908,"{""coef"": [0.10531957936992468, -3.3757491281821492, 22.62682169369515, -48.943254712184014, 44.972835490755266, -14.921567808201397], ""degree"": 5}",0.0063588497142642,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-15.917161425109908,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-93.9893697244049,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-100.24106851779165,POLY6_NULL,6,-341.3125976883587,POLY6_NULL,6,-337.8125976883587,POLY5_NULL,5,-329.5394880563284,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,1,0,0,1,1,1,1,0,0,0,0,0,2
ESO116-G012,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,LOW_TO_MEDIUM_RECLASSIFICATION_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,THREE_WAY_COMPETITIVE,0.4606401963450979,SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,2.0,0.4175996514909084,0.7458811518839589,110.5011312159292,112.0,0.1016601551629533,0.3043383890913558,15,-41.27237240114939,-71.6609347269713,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,32.55909484443075,9865.338439775594,2.8969057919667582,outer_step_median,-344.4679153767344,saturating_n2,18.242536267784068,14.35211798187315,32.506990078285895,18.154872096412745,0,0,3,7,112.9333071281207,-41.27237240114939,-71.6609347269713,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,15,9.86,0.4510807501740304,0.7582176651242779,0.0267008426568919,0.0369747899159663,0.0,0.0,0.9937871728664268,0.0722631415635119,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-20.29998557845091,"{""amplitude"": 0.6941510457967993, ""scale"": 0.4}",0.0105335577802648,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-20.29998557845091,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-103.91859010200432,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-103.5024896997999,POLY4_NULL,4,-316.599869963379,POLY4_NULL,4,-314.83516408102605,POLY4_NULL,4,-308.1554726928093,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,False,1,0,0,0,0,0,0,1,0,0,0,0,0
ESO563-G021,SN_RRF_FAMILY_TRIANGLE_DOMINANT,RESPONSE_FAMILY_DOMINANT_ZONE,MEDIUM_WITH_PROXY_CAUTION,PROXY_MISMATCH_DIAGNOSTIC_CAUTION,NFW_TRIANGLE_DOMINANT,0.7254202891834765,UNRESOLVED_OR_WEAK,STABLE,4.25,0.1395602561285265,0.9369142798761436,314.00159235265033,321.0,0.0048411271695432,0.4689661647920322,30,-486.036632656244,-486.7943883426725,SN-RRF-family-like comparator dominates the triangular diagnostic margin.,Diagnostic residual-regime map only; not a physical dark-matter classification.,140.21315165621476,70067.99216421216,6.598135385225629,outer_step_median,-2473.800830662044,saturating_n4,26.18889736664495,113.7234823478686,139.43275509714869,25.709272749280075,0,0,2,6,972.8310209989164,-486.036632656244,-486.7943883426725,0,1,1,NOT_TESTED_DATA_AVAILABILITY_HOLD,30,42.41,0.2290616012657584,0.6056736563992818,0.0313438463774387,0.0302560713033899,0.0,0.1666666666666666,0.6951662958905505,0.552195179838433,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.479268004049004,"{""coef"": [-0.14289610425120916, 1.65549439347649, 1.710439685492767, -18.368902749832923, 30.05204964020489, -14.356898799906427], ""degree"": 5}",0.044612481475615,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.479268004049004,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-179.67599569865692,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-174.92098532172747,POLY6_NULL,6,-305.76639215853857,POLY6_NULL,6,-302.26639215853857,POLY6_NULL,6,-293.944235979741,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True,1,0,0,1,1,1,1,0,0,0,0,0,2
