proxy,split,threshold,outcome,n_low,n_high,low_rate,high_rate,high_minus_low_rate,abs_rate_difference,permutation_p_two_sided,strong_association_flag
n_points,median,17.0,existing_aicc_overflex_flag,75,68,0.30666666666666664,0.6470588235294118,0.34039215686274515,0.34039215686274515,0.001998001998001998,True
n_points,median,17.0,response_family_zone_flag,75,68,0.4,0.6911764705882353,0.29117647058823526,0.29117647058823526,0.001998001998001998,True
v_max_kms,median,114.0,existing_aicc_overflex_flag,72,71,0.3333333333333333,0.6056338028169014,0.27230046948356806,0.27230046948356806,0.001998001998001998,True
v_outer_kms,median,110.5011312159292,existing_aicc_overflex_flag,72,71,0.3472222222222222,0.5915492957746479,0.24432707355242567,0.24432707355242567,0.005994005994005994,True
kernel_curve_rmse,median,0.1800886100038058,existing_aicc_overflex_flag,72,71,0.3611111111111111,0.5774647887323944,0.21635367762128327,0.21635367762128327,0.013986013986013986,True
n_points,median,17.0,nuisance_or_pathology_zone_flag,75,68,0.38666666666666666,0.19117647058823528,-0.19549019607843138,0.19549019607843138,0.023976023976023976,False
negative_residual_v2_fraction,median,0.0909090909090909,existing_aicc_overflex_flag,72,71,0.375,0.5633802816901409,0.18838028169014087,0.18838028169014087,0.026973026973026972,False
roughness_rms_diff,median,0.030937135202683,existing_bic_overflex_flag,72,71,0.7638888888888888,0.5915492957746479,-0.17233959311424096,0.17233959311424096,0.04195804195804196,False
kernel_curve_rmse,median,0.1800886100038058,snrrf_existing_aicc_winner_flag,72,71,0.19444444444444445,0.028169014084507043,-0.16627543035993742,0.16627543035993742,0.005994005994005994,False
outer_baryon_fraction_proxy,median,0.365938415666359,nuisance_or_pathology_zone_flag,72,71,0.375,0.2112676056338028,-0.1637323943661972,0.1637323943661972,0.04995004995004995,False
v_max_kms,median,114.0,nuisance_or_pathology_zone_flag,72,71,0.375,0.2112676056338028,-0.1637323943661972,0.1637323943661972,0.03296703296703297,False
outer_baryon_fraction_proxy,median,0.365938415666359,existing_bic_overflex_flag,72,71,0.5972222222222222,0.7605633802816901,0.16334115805946792,0.16334115805946792,0.04095904095904096,False
roughness_rms_diff,median,0.030937135202683,existing_aicc_overflex_flag,72,71,0.3888888888888889,0.5492957746478874,0.16040688575899847,0.16040688575899847,0.06393606393606394,False
kernel_curve_corr,median,0.9587852727474336,existing_aicc_overflex_flag,72,71,0.5416666666666666,0.39436619718309857,-0.14730046948356806,0.14730046948356806,0.09290709290709291,False
n_points,median,17.0,existing_bic_overflex_flag,75,68,0.7466666666666667,0.6029411764705882,-0.1437254901960785,0.1437254901960785,0.07692307692307693,False
v_outer_kms,median,110.5011312159292,nuisance_or_pathology_zone_flag,72,71,0.3611111111111111,0.22535211267605634,-0.13575899843505476,0.13575899843505476,0.0939060939060939,False
negative_residual_v2_fraction,median,0.0909090909090909,nuisance_or_pathology_zone_flag,72,71,0.3611111111111111,0.22535211267605634,-0.13575899843505476,0.13575899843505476,0.0919080919080919,False
outer_baryon_fraction_proxy,median,0.365938415666359,existing_aicc_overflex_flag,72,71,0.4027777777777778,0.5352112676056338,0.13243348982785597,0.13243348982785597,0.12787212787212787,False
