confidence_metric,quantile_threshold,threshold_value,n,coverage,recovery_rate,balanced_accuracy_proxy
rss_margin_best_vs_second,0.0,6.757125435019606e-07,2574,1.0,0.5664335664335665,0.5664335664335663
rss_margin_best_vs_second,0.1,0.0006360651044988508,2316,0.8997668997668997,0.5841968911917098,0.5671185502636721
rss_margin_best_vs_second,0.2,0.0012367414298328939,2059,0.7999222999222999,0.611947547353084,0.5728425450328362
rss_margin_best_vs_second,0.30000000000000004,0.0019060290773875832,1802,0.7000777000777001,0.6437291897891232,0.5725639815019224
rss_margin_best_vs_second,0.4,0.0027842780868656595,1544,0.5998445998445998,0.6832901554404145,0.5615545549206816
rss_margin_best_vs_second,0.5,0.004263139122511847,1287,0.5,0.7350427350427351,0.5573331489557329
rss_margin_best_vs_second,0.6000000000000001,0.006676759573671222,1030,0.40015540015540013,0.7786407766990291,0.4760066984499825
rss_margin_best_vs_second,0.7000000000000001,0.01497236013335845,772,0.2999222999222999,0.832901554404145,0.4424120278245489
rss_margin_best_vs_second,0.8,0.03641873844428868,515,0.20007770007770007,0.9242718446601942,0.3312807881773399
rss_margin_best_vs_second,0.9,0.5250083618607815,258,0.10023310023310024,1.0,1.0
corr_margin_best_vs_second,0.0,3.4279739369313944e-07,2574,1.0,0.5664335664335665,0.5664335664335663
corr_margin_best_vs_second,0.1,0.0003432917828902649,2316,0.8997668997668997,0.5837651122625216,0.5665270533568177
corr_margin_best_vs_second,0.2,0.0006771445775523911,2059,0.7999222999222999,0.6095191840699369,0.5695758985839293
corr_margin_best_vs_second,0.30000000000000004,0.001052854584569585,1802,0.7000777000777001,0.6403995560488346,0.5672880992925026
corr_margin_best_vs_second,0.4,0.001560687824051632,1544,0.5998445998445998,0.6781088082901554,0.5531819248786323
corr_margin_best_vs_second,0.5,0.002373317386667073,1287,0.5,0.7233877233877234,0.5464364878262878
corr_margin_best_vs_second,0.6000000000000001,0.003691001111210044,1030,0.40015540015540013,0.7718446601941747,0.4656813331008305
corr_margin_best_vs_second,0.7000000000000001,0.008731826357361508,772,0.2999222999222999,0.8212435233160622,0.4412661511766985
corr_margin_best_vs_second,0.8,0.021091364655204534,515,0.20007770007770007,0.9106796116504854,0.34563932002956393
corr_margin_best_vs_second,0.9,0.4216594666682052,258,0.10023310023310024,1.0,1.0
