injection_type,predicted_type,n,row_fraction
RAR_LIKE,HALO_LIKE,130,0.30303030303030304
HALO_LIKE,RAR_LIKE,113,0.2634032634032634
RESPONSE_FAMILY_LIKE,MIXED_RESPONSE_HALO,111,0.25874125874125875
MIXED_RESPONSE_HALO,RESPONSE_FAMILY_LIKE,101,0.23543123543123542
HALO_LIKE,MIXED_RESPONSE_HALO,74,0.17249417249417248
NUISANCE_GRADIENT,RAR_LIKE,69,0.16083916083916083
HALO_LIKE,NUISANCE_GRADIENT,68,0.1585081585081585
RAR_LIKE,NUISANCE_GRADIENT,66,0.15384615384615385
MIXED_RESPONSE_HALO,HALO_LIKE,63,0.14685314685314685
RAR_LIKE,MIXED_RESPONSE_HALO,49,0.11421911421911422
MIXED_RESPONSE_HALO,NUISANCE_GRADIENT,40,0.09324009324009325
HALO_LIKE,RESPONSE_FAMILY_LIKE,31,0.07226107226107226
MIXED_RESPONSE_HALO,RAR_LIKE,31,0.07226107226107226
RESPONSE_FAMILY_LIKE,NUISANCE_GRADIENT,31,0.07226107226107226
RESPONSE_FAMILY_LIKE,HALO_LIKE,30,0.06993006993006994
NUISANCE_GRADIENT,MIXED_RESPONSE_HALO,29,0.0675990675990676
NUISANCE_GRADIENT,HALO_LIKE,21,0.04895104895104895
RAR_LIKE,RESPONSE_FAMILY_LIKE,18,0.04195804195804196
PATHOLOGY_OUTLIER,NUISANCE_GRADIENT,17,0.039627039627039624
RESPONSE_FAMILY_LIKE,RAR_LIKE,16,0.037296037296037296
NUISANCE_GRADIENT,RESPONSE_FAMILY_LIKE,5,0.011655011655011656
PATHOLOGY_OUTLIER,RAR_LIKE,2,0.004662004662004662
RAR_LIKE,PATHOLOGY_OUTLIER,1,0.002331002331002331
