galaxy,stage8_class,n_points,delta_aic_tvc_minus_baryonic_fit,delta_aic_tvc_minus_nfw_like,delta_aic_tvc_minus_rar_like,broad_free_dAIC_tvc_minus_baryonic_fit,broad_free_dAIC_tvc_minus_nfw_like,broad_free_dAIC_tvc_minus_rar_like,broad_free_tvc_boundary,broad_free_tvc_core_boundary,broad_free_tvc_nuisance_boundary,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,best_n,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_10_of_best,dcrra2_taxonomy_class,dcrra2_confidence,dcrra2_rationale,dcrra3_recommended_class,dcrra3_class_stability,pathology_guard,nuisance_guard,rrf_beats_baryonic_guard,rrf_beats_rar_guard,rrf_competes_nfw_guard,nfw_dominant_guard,rar_dominant_guard,central_best_n_guard,scale_band_guard
CamB,CORE-PATHOLOGY-ARCHIVE,9,-40.90592249025518,-25.52211126940267,-319.3219228301673,-40.90592249025518,-25.52211126940267,-319.3219228301673,0,0,0,1.2047431932148416,3.504588462260784,16.8,20.1,0.1974420874210283,1.0734187216553288,12.0,8.573434947447236,0,1,30,PATHOLOGY_ARCHIVE,HIGH,core/pathology flag or extreme scale/amplitude; parent_stage8=CORE-PATHOLOGY-ARCHIVE,PATHOLOGY_ARCHIVE,STABLE,1,0,1,1,1,0,0,0,0
D631-7,ROBUST-DIAGNOSTIC-CANDIDATE,16,-1039.8929036421157,-50.33184886307608,-208.8564525864597,-1039.8929036421157,-50.33184886307608,-208.8564525864597,0,0,0,0.5215233187900268,1.0285250526739784,58.05105511530346,58.5,0.6260298172412903,0.1300743191614056,3.0,0.3378182380397376,1,1,12,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
DDO064,ROBUST-DIAGNOSTIC-CANDIDATE,14,-41.52952177029519,-2.7450927191974888,3.724541664838601,-41.52952177029519,-2.7450927191974888,3.724541664838601,0,0,0,0.5453951187493905,0.7256854873491801,46.4,46.9,0.2892437293785073,0.3551905283888228,2.5,0.224282990006766,1,1,39,MIXED_COMPETITIVE,MEDIUM,continuum-family fit is competitive but comparator dominance is not clean; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,MIXED_COMPETITIVE,STABLE,0,0,1,0,1,0,0,1,1
DDO154,ROBUST-DIAGNOSTIC-CANDIDATE,12,-56263.80035921071,-57.94843118882568,-223.3449559053425,-56263.80035921071,-57.94843118882568,-223.3449559053425,0,0,0,0.3987982128493373,0.9112288090675428,47.4,48.2,0.7866455535310898,0.1370599886058146,2.25,15.832653718433322,0,0,6,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,0,0,1,1,1,0,0,1,1
DDO161,ROBUST-DIAGNOSTIC-CANDIDATE,31,-7796.377443799301,-12.282495590563652,-3114.2594128714486,-7796.377443799301,-12.282495590563652,-3114.2594128714486,0,0,0,0.4880743627566271,0.8403563708153551,66.70007496247662,67.5,0.6587086856264412,0.2606261547798332,2.0,11.701024615200968,0,0,7,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,0,0,1,1,1,0,0,1,1
DDO168,ROBUST-DIAGNOSTIC-CANDIDATE,10,-735.3357019516621,-66.41724144366728,-149.75033509615994,-735.3357019516621,-66.41724144366728,-149.75033509615994,0,0,0,0.5155614938202889,0.9738391502215304,54.8,55.0,0.6378034891254569,0.2702505461132719,4.5,3.184327863667983,0,1,18,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,0,0,1,1,1,0,0,0,1
DDO170,ROBUST-DIAGNOSTIC-CANDIDATE,8,-2633.182268754957,1.95932275872924,-645.4971747578064,-2633.182268754957,1.95932275872924,-645.4971747578064,0,0,0,0.2751975502260967,0.7990570586651387,60.0,62.2,0.6484889010918328,0.2706209444444444,2.0,6.292381145415192,0,1,12,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
ESO079-G014,ROBUST-DIAGNOSTIC-CANDIDATE,15,-115.71801041724989,-38.06780955550316,-33.48248659333697,-115.71801041724989,-38.06780955550316,-33.48248659333697,0,0,0,0.3673883135459856,0.6893282911963908,176.00284088616297,178.0,0.0126686798260807,0.5941916115182231,2.75,2.04558117380728,0,1,10,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
ESO116-G012,ROBUST-DIAGNOSTIC-CANDIDATE,15,-960.3126999103588,-23.117500304736645,-53.50606263055855,-960.3126999103588,-23.117500304736645,-53.50606263055855,0,0,0,0.4175996514909084,0.7458811518839589,110.5011312159292,112.0,0.1016601551629533,0.3043383890913558,2.0,18.154872096412745,0,0,7,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",SN_RRF_FAMILY_LIKE,CAUTION-RECLASSIFY,0,0,1,1,1,0,0,1,1
ESO563-G021,ROBUST-DIAGNOSTIC-CANDIDATE,30,-1050.8317570338827,-460.327359906964,-461.0851155933924,-1050.8317570338827,-460.327359906964,-461.0851155933924,0,0,0,0.1395602561285265,0.9369142798761436,314.00159235265033,321.0,0.0048411271695432,0.4689661647920322,4.25,25.709272749280075,0,0,6,UNRESOLVED_OR_WEAK,LOW,"weak, unresolved, or outside provisional rules; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE",UNRESOLVED_OR_WEAK,STABLE,0,0,1,1,1,0,0,0,1
