proxy,triangle_class,count,median,q25,q75
v_outer_kms,NFW_TRIANGLE_DOMINANT,6,172.0,159.37559148117833,190.62548449531528
v_outer_kms,NUISANCE_SENSITIVE,30,84.25,67.525,116.375
v_outer_kms,PATHOLOGY_ARCHIVE,12,174.25036656812685,63.675000000000004,210.0
v_outer_kms,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,111.25509026325085,80.35001552794432,205.87516149843842
v_outer_kms,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,110.5011312159292,77.15,167.0
v_outer_kms,THREE_WAY_COMPETITIVE,16,111.00223209837264,81.5,143.25
v_outer_kms,UNRESOLVED_TRIANGULAR,2,89.5,72.25,106.75
v_max_kms,NFW_TRIANGLE_DOMINANT,6,205.5,180.75,222.75
v_max_kms,NUISANCE_SENSITIVE,30,85.30000000000001,69.75,116.75
v_max_kms,PATHOLOGY_ARCHIVE,12,175.5,67.67500000000001,239.0
v_max_kms,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,118.0,84.475,218.5
v_max_kms,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,114.0,79.125,203.0
v_max_kms,THREE_WAY_COMPETITIVE,16,114.5,83.975,152.0
v_max_kms,UNRESOLVED_TRIANGULAR,2,92.95,74.925,110.975
gas_fraction_proxy,NFW_TRIANGLE_DOMINANT,6,0.04407167936119365,0.021300053128977123,0.0801069202032982
gas_fraction_proxy,NUISANCE_SENSITIVE,30,0.24896642522459364,0.15847513981796724,0.4874143130241789
gas_fraction_proxy,PATHOLOGY_ARCHIVE,12,0.026330046859975302,0.016505229165956325,0.0619399094311795
gas_fraction_proxy,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,0.04247788729350555,0.0116050900120672,0.23784127596423135
gas_fraction_proxy,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,0.0851627896794965,0.04034655679518405,0.1978120223439176
gas_fraction_proxy,THREE_WAY_COMPETITIVE,16,0.08445484377384704,0.04877010666307515,0.15335682021351674
gas_fraction_proxy,UNRESOLVED_TRIANGULAR,2,0.12887566741758194,0.09282154779273902,0.16492978704242486
outer_baryon_fraction_proxy,NFW_TRIANGLE_DOMINANT,6,0.47105064891750004,0.3935971729118391,0.5719065750819814
outer_baryon_fraction_proxy,NUISANCE_SENSITIVE,30,0.23611247533330243,0.17200525893638058,0.3210580251484985
outer_baryon_fraction_proxy,PATHOLOGY_ARCHIVE,12,1.0226136808165698,0.810828357806191,1.1576868521030819
outer_baryon_fraction_proxy,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,0.36363084783317945,0.2625822024064192,0.5385984051888567
outer_baryon_fraction_proxy,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,0.3932738768861455,0.34804340726177624,0.5097946606385755
outer_baryon_fraction_proxy,THREE_WAY_COMPETITIVE,16,0.3703012451456368,0.24074966080454147,0.5761700025017392
outer_baryon_fraction_proxy,UNRESOLVED_TRIANGULAR,2,0.44065956908802817,0.3362558176018653,0.545063320574191
rrf_rc_over_rlast,NFW_TRIANGLE_DOMINANT,6,0.36534184252200114,0.23200984326369617,0.445742915538568
rrf_rc_over_rlast,NUISANCE_SENSITIVE,30,0.2745083465827024,0.14348230901916276,0.4020567851183534
rrf_rc_over_rlast,PATHOLOGY_ARCHIVE,12,0.9433666200151438,0.3793634617130106,4.103771313475073
rrf_rc_over_rlast,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,0.33351514925701,0.21812026891200817,0.47004020426937715
rrf_rc_over_rlast,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,0.1891341960815337,0.1216517282327985,0.2984094521542122
rrf_rc_over_rlast,THREE_WAY_COMPETITIVE,16,0.3648947243047549,0.2388509927074457,0.6018328238329111
rrf_rc_over_rlast,UNRESOLVED_TRIANGULAR,2,0.5207869356217485,0.5183459231527967,0.5232279480907003
rrf_A_over_vouter2,NFW_TRIANGLE_DOMINANT,6,0.6746504457071028,0.6005558023607086,0.7650583905245979
rrf_A_over_vouter2,NUISANCE_SENSITIVE,30,0.7594049554495623,0.6438165739459388,0.871761566465341
rrf_A_over_vouter2,PATHOLOGY_ARCHIVE,12,2.197586136460498,0.8323458790905321,72.69593053323726
rrf_A_over_vouter2,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,0.7804864422483493,0.6792428596734398,0.8526005745289393
rrf_A_over_vouter2,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,0.6790746966138612,0.6268825517400385,0.7919667345638783
rrf_A_over_vouter2,THREE_WAY_COMPETITIVE,16,0.7242594940484784,0.621018161941849,0.8084553033259312
rrf_A_over_vouter2,UNRESOLVED_TRIANGULAR,2,0.79870933178665,0.7566411586290536,0.8407775049442465
best_n,NFW_TRIANGLE_DOMINANT,6,3.0,2.4375,3.1942447499999997
best_n,NUISANCE_SENSITIVE,30,1.625,1.3125,2.25
best_n,PATHOLOGY_ARCHIVE,12,12.0,10.0625,12.0
best_n,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,2.25,1.5,2.9375
