proxy,proxy_bin,triangle_class,count,fraction_within_bin,median_est_family_minus_nfw,median_est_family_minus_rar,median_best_n,pathology_rate,nuisance_rate
v_outer_kms,LOW,NUISANCE_SENSITIVE,14,0.2916666666666667,-7.871329705082421,-51.44572747078085,1.5,0.0,1.0
v_outer_kms,LOW,PATHOLOGY_ARCHIVE,5,0.10416666666666667,-6.381560069032898,-16.16108724369261,12.0,1.0,0.0
v_outer_kms,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,16,0.3333333333333333,-22.082163024036205,-97.50956386201275,2.5,0.0,0.0
v_outer_kms,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,7,0.14583333333333334,-4.333058386685952,-176.17049504121206,2.25,0.0,0.0
v_outer_kms,LOW,THREE_WAY_COMPETITIVE,5,0.10416666666666667,-5.329285248503268,-1.1325897851237663,2.25,0.0,0.0
v_outer_kms,LOW,UNRESOLVED_TRIANGULAR,1,0.020833333333333332,-23.467219844213744,-2.9484015218649717,2.0,0.0,0.0
v_outer_kms,MID,NFW_TRIANGLE_DOMINANT,1,0.02127659574468085,75.14574846865852,56.044262666624206,3.0,0.0,0.0
v_outer_kms,MID,NUISANCE_SENSITIVE,10,0.2127659574468085,-15.266829911872001,-36.394028471991746,1.875,0.0,1.0
v_outer_kms,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,19,0.40425531914893614,-36.733368842467215,-73.56336245901721,2.0,0.0,0.0
v_outer_kms,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,9,0.19148936170212766,-2.90871279598332,-26.464780202050548,2.5,0.0,0.0
v_outer_kms,MID,THREE_WAY_COMPETITIVE,7,0.14893617021276595,-2.576341088834215,-2.407622908430909,2.25,0.0,0.0
v_outer_kms,MID,UNRESOLVED_TRIANGULAR,1,0.02127659574468085,-11.15399236816166,-9.545342188770384,4.5,0.0,0.0
v_outer_kms,HIGH,NFW_TRIANGLE_DOMINANT,5,0.10416666666666667,18.1340142828735,-104.1562364919086,3.0,0.0,0.0
v_outer_kms,HIGH,NUISANCE_SENSITIVE,6,0.125,-0.11520826429356656,-133.99191483528026,2.25,0.0,1.0
v_outer_kms,HIGH,PATHOLOGY_ARCHIVE,7,0.14583333333333334,-22.216620896981453,-122.95191860821912,12.0,1.0,0.14285714285714285
v_outer_kms,HIGH,SN_RRF_FAMILY_TRIANGLE_DOMINANT,19,0.3958333333333333,-44.86316501202078,-94.66870056614772,2.5,0.0,0.0
v_outer_kms,HIGH,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,7,0.14583333333333334,-0.9589545220763156,-20.12622187988677,2.5,0.0,0.0
v_outer_kms,HIGH,THREE_WAY_COMPETITIVE,4,0.08333333333333333,0.005730690169162949,-2.692713972816458,3.5,0.0,0.0
v_max_kms,LOW,NUISANCE_SENSITIVE,16,0.3333333333333333,-10.466463236103394,-38.60628682587498,1.5,0.0,1.0
v_max_kms,LOW,PATHOLOGY_ARCHIVE,5,0.10416666666666667,-6.381560069032898,-16.16108724369261,12.0,1.0,0.0
v_max_kms,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,14,0.2916666666666667,-22.082163024036205,-133.98139358587423,2.375,0.0,0.0
v_max_kms,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,7,0.14583333333333334,-4.333058386685952,-176.17049504121206,2.25,0.0,0.0
v_max_kms,LOW,THREE_WAY_COMPETITIVE,5,0.10416666666666667,-5.329285248503268,-1.1325897851237663,2.25,0.0,0.0
v_max_kms,LOW,UNRESOLVED_TRIANGULAR,1,0.020833333333333332,-23.467219844213744,-2.9484015218649717,2.0,0.0,0.0
v_max_kms,MID,NFW_TRIANGLE_DOMINANT,1,0.02127659574468085,75.14574846865852,56.044262666624206,3.0,0.0,0.0
v_max_kms,MID,NUISANCE_SENSITIVE,8,0.1702127659574468,-15.266829911872001,-50.23965993050405,1.625,0.0,1.0
v_max_kms,MID,PATHOLOGY_ARCHIVE,1,0.02127659574468085,-51.19172733477,-99.38533964063252,12.0,1.0,0.0
v_max_kms,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,21,0.44680851063829785,-36.06367818832412,-73.56336245901721,2.0,0.0,0.0
v_max_kms,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,8,0.1702127659574468,-3.976244291794409,-24.495410042184254,2.125,0.0,0.0
v_max_kms,MID,THREE_WAY_COMPETITIVE,7,0.14893617021276595,-2.576341088834215,-2.407622908430909,2.25,0.0,0.0
v_max_kms,MID,UNRESOLVED_TRIANGULAR,1,0.02127659574468085,-11.15399236816166,-9.545342188770384,4.5,0.0,0.0
