proxy,triangle_class,class_count,top_bin,top_bin_count,top_bin_fraction_within_class,enrichment_flag
v_outer_kms,NFW_TRIANGLE_DOMINANT,6,HIGH,5,0.8333333333333334,1
v_max_kms,NFW_TRIANGLE_DOMINANT,6,HIGH,5,0.8333333333333334,1
outer_baryon_fraction_proxy,PATHOLOGY_ARCHIVE,12,HIGH,10,0.8333333333333334,1
best_n,PATHOLOGY_ARCHIVE,12,HIGH,10,0.8333333333333334,1
rrf_A_over_vouter2,PATHOLOGY_ARCHIVE,12,HIGH,9,0.75,1
n_points,THREE_WAY_COMPETITIVE,16,LOW,12,0.75,1
best_n,NUISANCE_SENSITIVE,30,LOW,21,0.7,1
gas_fraction_proxy,THREE_WAY_COMPETITIVE,16,MID,11,0.6875,1
gas_fraction_proxy,NUISANCE_SENSITIVE,30,HIGH,20,0.6666666666666666,1
outer_baryon_fraction_proxy,NUISANCE_SENSITIVE,30,LOW,20,0.6666666666666666,1
rrf_rc_over_rlast,PATHOLOGY_ARCHIVE,12,HIGH,8,0.6666666666666666,1
best_n,NFW_TRIANGLE_DOMINANT,6,HIGH,4,0.6666666666666666,1
rrf_rc_over_rlast,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,LOW,15,0.6521739130434783,1
v_outer_kms,PATHOLOGY_ARCHIVE,12,HIGH,7,0.5833333333333334,1
gas_fraction_proxy,PATHOLOGY_ARCHIVE,12,LOW,7,0.5833333333333334,1
outer_baryon_fraction_proxy,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,MID,13,0.5652173913043478,1
rrf_A_over_vouter2,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,LOW,13,0.5652173913043478,1
n_points,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,HIGH,30,0.5555555555555556,1
v_max_kms,NUISANCE_SENSITIVE,30,LOW,16,0.5333333333333333,1
n_points,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,LOW,12,0.5217391304347826,1
v_max_kms,PATHOLOGY_ARCHIVE,12,HIGH,6,0.5,1
gas_fraction_proxy,NFW_TRIANGLE_DOMINANT,6,MID,3,0.5,1
outer_baryon_fraction_proxy,NFW_TRIANGLE_DOMINANT,6,HIGH,3,0.5,1
rrf_A_over_vouter2,NFW_TRIANGLE_DOMINANT,6,LOW,3,0.5,1
rrf_A_over_vouter2,THREE_WAY_COMPETITIVE,16,MID,8,0.5,1
best_n,THREE_WAY_COMPETITIVE,16,MID,8,0.5,1
n_points,NFW_TRIANGLE_DOMINANT,6,MID,3,0.5,1
n_points,PATHOLOGY_ARCHIVE,12,LOW,6,0.5,1
rrf_rc_over_rlast,UNRESOLVED_TRIANGULAR,2,HIGH,2,1.0,0
v_outer_kms,UNRESOLVED_TRIANGULAR,2,MID,1,0.5,0
v_max_kms,UNRESOLVED_TRIANGULAR,2,MID,1,0.5,0
gas_fraction_proxy,UNRESOLVED_TRIANGULAR,2,MID,1,0.5,0
outer_baryon_fraction_proxy,UNRESOLVED_TRIANGULAR,2,HIGH,1,0.5,0
rrf_A_over_vouter2,UNRESOLVED_TRIANGULAR,2,MID,1,0.5,0
best_n,UNRESOLVED_TRIANGULAR,2,HIGH,1,0.5,0
n_points,UNRESOLVED_TRIANGULAR,2,LOW,1,0.5,0
gas_fraction_proxy,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,LOW,26,0.48148148148148145,0
v_outer_kms,NUISANCE_SENSITIVE,30,LOW,14,0.4666666666666667,0
best_n,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,LOW,24,0.4444444444444444,0
v_outer_kms,THREE_WAY_COMPETITIVE,16,MID,7,0.4375,0
v_max_kms,THREE_WAY_COMPETITIVE,16,MID,7,0.4375,0
rrf_rc_over_rlast,THREE_WAY_COMPETITIVE,16,HIGH,7,0.4375,0
gas_fraction_proxy,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,MID,10,0.43478260869565216,0
rrf_rc_over_rlast,NUISANCE_SENSITIVE,30,MID,13,0.43333333333333335,0
n_points,NUISANCE_SENSITIVE,30,LOW,12,0.4,0
v_outer_kms,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,MID,9,0.391304347826087,0
v_max_kms,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,MID,21,0.3888888888888889,0
outer_baryon_fraction_proxy,THREE_WAY_COMPETITIVE,16,MID,6,0.375,0
rrf_rc_over_rlast,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,MID,20,0.37037037037037035,0
rrf_A_over_vouter2,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,HIGH,20,0.37037037037037035,0
rrf_A_over_vouter2,NUISANCE_SENSITIVE,30,LOW,11,0.36666666666666664,0
v_outer_kms,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,HIGH,19,0.35185185185185186,0
outer_baryon_fraction_proxy,SN_RRF_FAMILY_TRIANGLE_DOMINANT,54,LOW,19,0.35185185185185186,0
v_max_kms,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,MID,8,0.34782608695652173,0
best_n,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,23,LOW,8,0.34782608695652173,0
rrf_rc_over_rlast,NFW_TRIANGLE_DOMINANT,6,HIGH,2,0.3333333333333333,0
