galaxy,stage8_class,n_points,rotmod_file,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,best_destructive_null,best_destructive_null_aic_v2,delta_aic_rrf_minus_best_destructive_null,best_neighbor_null,best_neighbor_null_aic_v2,delta_aic_rrf_minus_best_neighbor_null
CamB,CORE-PATHOLOGY-ARCHIVE,9,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/CamB_rotmod.dat,36.559677669615425,5720.558392435284,5.37,outer_step_median,44.7901688428826,-8.230491173267175,saturating_n8,28.300151924236868,8.259525745378557
D631-7,ROBUST-DIAGNOSTIC-CANDIDATE,16,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/D631-7_rotmod.dat,10.329020709320556,3444.866407523111,3.7428405773515707,outer_step_median,294.1211266081055,-283.79210589878494,saturating_n4,14.323811261749924,-3.994790552429368
DDO064,ROBUST-DIAGNOSTIC-CANDIDATE,14,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/DDO064_rotmod.dat,7.763989667093139,1926.6923528618704,1.2963821729292277,outer_step_median,26.637565471887207,-18.87357580479407,saturating_n2,7.6738397070304565,0.09014996006268294
DDO154,ROBUST-DIAGNOSTIC-CANDIDATE,12,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/DDO154_rotmod.dat,26.0624372706993,1970.5478195758317,1.9823689217906317,shuffled_radius_rrf_nfixed,814.8742227241862,-788.8117854534869,saturating_n2,11.38165672873529,14.680780541964008
DDO161,ROBUST-DIAGNOSTIC-CANDIDATE,31,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/DDO161_rotmod.dat,23.183709487119447,3723.5792195787185,5.9581991090751565,outer_step_median,465.4477847083479,-442.26407522122844,saturating_n2,11.389815891404755,11.793893595714692
DDO168,ROBUST-DIAGNOSTIC-CANDIDATE,10,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/DDO168_rotmod.dat,15.292117618302488,2877.3701482368974,2.1478073660962935,shuffled_radius_rrf_nfixed,261.33365821668093,-246.04154059837845,saturating_n4,12.253492746981983,3.038624871320504
DDO170,ROBUST-DIAGNOSTIC-CANDIDATE,8,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/DDO170_rotmod.dat,18.01370609792245,2840.4841360671116,3.5273064460853814,shuffled_radius_rrf_nfixed,88.03673065106987,-70.02302455314742,saturating_n2,11.717421572432439,6.296284525490012
ESO079-G014,ROBUST-DIAGNOSTIC-CANDIDATE,15,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/ESO079-G014_rotmod.dat,11.117397402823485,22220.237849109788,5.9837382962282595,outer_step_median,153.6697754993614,-142.55237809653792,saturating_n2,15.823758875086607,-4.706361472263122
ESO116-G012,ROBUST-DIAGNOSTIC-CANDIDATE,15,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/ESO116-G012_rotmod.dat,32.55909484443075,9865.338439775594,2.8969057919667582,outer_step_median,377.02701022116514,-344.46791537673437,saturating_n2,14.316558576646685,18.242536267784068
ESO563-G021,ROBUST-DIAGNOSTIC-CANDIDATE,30,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/ESO563-G021_rotmod.dat,140.21315165621476,70067.99216421216,6.598135385225629,outer_step_median,2614.0139823182585,-2473.8008306620436,saturating_n4,114.02425428956981,26.18889736664495
F563-1,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,17,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/F563-1_rotmod.dat,7.624271028319944,10121.671503794534,2.923649311306986,shuffled_radius_rrf_nfixed,66.5140437581176,-58.88977272979765,saturating_n4,7.497188175759414,0.1270828525605303
